Time,Temperature (°C),Humidity (%),Wind Speed (m/s)
12:03:22,35.55,47,2.67
12:03:33,35.55,47,2.67
12:03:58,35.55,47,2.67
12:04:08,35.55,47,2.67
12:04:18,35.55,47,2.67
12:04:28,35.55,47,2.67
12:06:20,35.55,47,2.67
12:06:30,35.55,47,2.67
12:14:52,34.81,49,5.07
12:15:02,34.81,49,5.07
12:15:12,34.81,49,5.07
12:15:22,34.81,49,5.07
12:15:32,34.81,49,5.07
12:19:58,35,50,2.67
10:24:27,33.59,53,1.55
10:24:37,33.59,53,1.55
10:24:48,33.59,53,1.55
10:26:32,33.59,53,1.55
10:26:43,33.59,53,1.55
10:26:53,33.59,53,1.55
10:27:03,33.59,53,1.55
10:27:13,33.59,53,1.55
10:27:24,33.59,53,1.55
10:27:34,33.59,53,1.55
10:27:44,33.59,53,1.55
00:32:46,22.14,77,2.46
00:33:06,22.14,77,2.46
00:33:16,22.14,77,2.46
00:33:27,22.14,77,2.46
00:33:38,22.14,77,2.46
19:39:29,17.57,29,2
19:39:40,17.57,29,2
19:39:51,17.57,29,2
19:40:02,17.57,29,2
19:40:12,17.57,29,2
13:51:17,26.08,17,4.08
13:51:35,26.08,17,4.08
13:52:00,26.08,17,4.08
